frame_id,track_id,class_id,x1,y1,x2,y2
0,1,0,54,52,84,112
0,2,0,497,399,527,459
0,3,0,301,105,331,165
0,4,0,105,298,135,358
0,5,32,206,204,221,219
1,1,0,58,54,88,114
1,2,0,494,398,524,458
1,3,0,302,110,332,170
1,4,0,110,296,140,356
1,5,32,212,208,227,223
2,1,0,62,56,92,116
2,2,0,491,397,521,457
2,3,0,303,115,333,175
2,4,0,115,294,145,354
2,5,32,218,212,233,227
3,1,0,66,58,96,118
3,2,0,488,396,518,456
3,3,0,304,120,334,180
3,4,0,120,292,150,352
3,5,32,224,216,239,231
4,1,0,70,60,100,120
4,2,0,485,395,515,455
4,3,0,305,125,335,185
4,4,0,125,290,155,350
4,5,32,230,220,245,235
5,1,0,74,62,104,122
5,2,0,482,394,512,454
5,3,0,306,130,336,190
5,4,0,130,288,160,348
5,5,32,236,224,251,239
6,1,0,78,64,108,124
6,2,0,479,393,509,453
6,3,0,307,135,337,195
6,4,0,135,286,165,346
6,5,32,242,228,257,243
7,1,0,82,66,112,126
7,2,0,476,392,506,452
7,3,0,308,140,338,200
7,4,0,140,284,170,344
7,5,32,248,232,263,247
8,1,0,86,68,116,128
8,2,0,473,391,503,451
8,3,0,309,145,339,205
8,4,0,145,282,175,342
8,5,32,254,236,269,251
9,1,0,90,70,120,130
9,2,0,470,390,500,450
9,3,0,310,150,340,210
9,4,0,150,280,180,340
9,5,32,260,240,275,255
10,1,0,94,72,124,132
10,2,0,467,389,497,449
10,3,0,311,155,341,215
10,4,0,155,278,185,338
10,5,32,266,244,281,259
11,1,0,98,74,128,134
11,2,0,464,388,494,448
11,3,0,312,160,342,220
11,4,0,160,276,190,336
11,5,32,272,248,287,263
12,1,0,102,76,132,136
12,2,0,461,387,491,447
12,3,0,313,165,343,225
12,4,0,165,274,195,334
12,5,32,278,252,293,267
13,1,0,106,78,136,138
13,2,0,458,386,488,446
13,3,0,314,170,344,230
13,4,0,170,272,200,332
13,5,32,284,256,299,271
14,1,0,110,80,140,140
14,2,0,455,385,485,445
14,3,0,315,175,345,235
14,4,0,175,270,205,330
14,5,32,290,260,305,275
15,1,0,114,82,144,142
15,2,0,452,384,482,444
15,3,0,316,180,346,240
15,4,0,180,268,210,328
15,5,32,296,264,311,279
16,1,0,118,84,148,144
16,2,0,449,383,479,443
16,3,0,317,185,347,245
16,4,0,185,266,215,326
16,5,32,302,268,317,283
17,1,0,122,86,152,146
17,2,0,446,382,476,442
17,3,0,318,190,348,250
17,4,0,190,264,220,324
17,5,32,308,272,323,287
18,1,0,126,88,156,148
18,2,0,443,381,473,441
18,3,0,319,195,349,255
18,4,0,195,262,225,322
18,5,32,314,276,329,291
19,1,0,130,90,160,150
19,2,0,440,380,470,440
19,3,0,320,200,350,260
19,4,0,200,260,230,320
19,5,32,320,280,335,295
20,1,0,134,92,164,152
20,2,0,437,379,467,439
20,3,0,321,205,351,265
20,4,0,205,258,235,318
20,5,32,326,284,341,299
21,1,0,138,94,168,154
21,2,0,434,378,464,438
21,3,0,322,210,352,270
21,4,0,210,256,240,316
21,5,32,332,288,347,303
22,1,0,142,96,172,156
22,2,0,431,377,461,437
22,3,0,323,215,353,275
22,4,0,215,254,245,314
22,5,32,338,292,353,307
23,1,0,146,98,176,158
23,2,0,428,376,458,436
23,3,0,324,220,354,280
23,4,0,220,252,250,312
23,5,32,344,296,359,311
24,1,0,150,100,180,160
24,2,0,425,375,455,435
24,3,0,325,225,355,285
24,4,0,225,250,255,310
24,5,32,350,300,365,315
25,1,0,154,102,184,162
25,2,0,422,374,452,434
25,3,0,326,230,356,290
25,4,0,230,248,260,308
25,5,32,356,304,371,319
26,1,0,158,104,188,164
26,2,0,419,373,449,433
26,3,0,327,235,357,295
26,4,0,235,246,265,306
26,5,32,362,308,377,323
27,1,0,162,106,192,166
27,2,0,416,372,446,432
27,3,0,328,240,358,300
27,4,0,240,244,270,304
27,5,32,368,312,383,327
28,1,0,166,108,196,168
28,2,0,413,371,443,431
28,3,0,329,245,359,305
28,4,0,245,242,275,302
28,5,32,374,316,389,331
29,1,0,170,110,200,170
29,2,0,410,370,440,430
29,3,0,330,250,360,310
29,4,0,250,240,280,300
29,5,32,380,320,395,335
30,1,0,174,112,204,172
30,2,0,407,369,437,429
30,3,0,331,255,361,315
30,4,0,255,238,285,298
30,5,32,386,324,401,339
31,1,0,178,114,208,174
31,2,0,404,368,434,428
31,3,0,332,260,362,320
31,4,0,260,236,290,296
31,5,32,392,328,407,343
32,1,0,182,116,212,176
32,2,0,401,367,431,427
32,3,0,333,265,363,325
32,4,0,265,234,295,294
32,5,32,398,332,413,347
33,1,0,186,118,216,178
33,2,0,398,366,428,426
33,3,0,334,270,364,330
33,4,0,270,232,300,292
33,5,32,404,336,419,351
34,1,0,190,120,220,180
34,2,0,395,365,425,425
34,3,0,335,275,365,335
